###############################################################################
# pdi.txt
# This file was auto-generated by cryptotvgen v1.1.0
###############################################################################
# Parameter:
#
# add_partial            - False
# aead                   - romulusn1v12
# block_size             - 128
# block_size_ad          - 128
# block_size_msg_digest  - None
# cc_hls                 - False
# cc_pad_ad              - 0
# cc_pad_d               - 0
# cc_pad_enable          - False
# cc_pad_style           - 1
# ciph_exp               - False
# ciph_exp_noext         - False
# gen_custom_mode        - 0
# hash                   - None
# io (W,SW)              - (32, 32)
# key_size               - 128
# max_ad                 - 1000
# max_block_per_sgmt     - 9999
# max_d                  - 1000
# max_io_per_line        - 9999
# message_digest_size    - 64
# min_ad                 - 0
# min_d                  - 0
# msg_format             - ['ad', 'npub', 'data', 'tag']
# npub_size              - 128
# nsec_size              - 0
# offline                - False
# tag_size               - 128
###############################################################################

#### Authenticated Encryption
#### MsgID=  1, KeyID=  1 Ad Size =    0, Pt Size =    0
# Instruction: Opcode=Activate Key
INS = 70000000
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=0 bytes
HDR = 12000000
# Info :                     Npub, EOI=1 EOT=1, Last=0, Length=16 bytes
HDR = D6000010
DAT = F11DFA449CB4884B6CBA872ACFB08A4D
# Info :                Plaintext, EOI=0 EOT=1, Last=1, Length=0 bytes
HDR = 43000000

#### Authenticated Encryption
#### MsgID=  2, KeyID=  1 Ad Size =   80, Pt Size =    0
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=80 bytes
HDR = 12000050
DAT = E31DD6EF61F9C52F2C16A069A42A2BB43AB3E0C14ABE3C67C1DC21DA612BA3A6F2C5A5FA23DCB4F10BC11AE096CCE15D90DC12CEBE673B051090AAF1816FF2A8A53E5EE3F76D59ED9D768C0E55C1A03E
# Info :                     Npub, EOI=1 EOT=1, Last=0, Length=16 bytes
HDR = D6000010
DAT = BE8E059A859D23822D8357E2D26EB7E4
# Info :                Plaintext, EOI=0 EOT=1, Last=1, Length=0 bytes
HDR = 43000000

#### Authenticated Encryption
#### MsgID=  3, KeyID=  1 Ad Size =   64, Pt Size =    0
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=64 bytes
HDR = 12000040
DAT = 6874907F53D2B87522BF12A4C933C1FBF07E3E9C986068BFA4CCE5BA926B9722F4105A5CE5BA8B5B98DC3CED398A32B1AD7A554612617B8B6EBEFFDCF3F435FB
# Info :                     Npub, EOI=1 EOT=1, Last=0, Length=16 bytes
HDR = D6000010
DAT = 5F0C36EFE461AD3EEAADF87060919F20
# Info :                Plaintext, EOI=0 EOT=1, Last=1, Length=0 bytes
HDR = 43000000

#### Authenticated Encryption
#### MsgID=  4, KeyID=  1 Ad Size =  1536, Pt Size =    0
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=1536 bytes
HDR = 12000600
DAT = 97ADABF82B3A1A710A07F22E1994852C41EF2D9C27531BF0D66D355AA04A0A3F7141D9D84BDCC8884DAFD8CE7E57128E9D7439C1C77C2547C8DEB5DC45766720EA3E5E84EA8F31786AFE7F6BA0AF2FDBFF1916CC37A0E48DC94CCC68692ACDED0B996675A15F8AEF5A3FE82E5077A900F355FEE8B525D96D12619CC07A0B46EAA50BCE3DDCFF40F6B226972FE4E32114D55102B90DE2ED60220B239CB3114BDBF4B32A9181B564014A85306769BFAB639051621C62F4ED3327F6F4400F63CEE0FDA9555B4559FA8FBCF88A04BCF4580E5B7F1D8CEFBBBEE6D3AE1764AB8BB25AF67AB860E38D95492DEF00D2EF30B9EF98A7C85C85204A9B6887454D1E2C5B57467574898754E6C04D6395FA8E50ECBFBF5F06D5C8BA676B6459FE15370E50238D72190D6C27944CACC8B4C3BFA7F3169E64CBD2CA72B5FB66198708018F8978381F1C25ABFE7AB7DB18D7620CA5C0C8B98CF16B0BA1076058E388E20D1A470156A1317EABFD9F2B2B842FB66B98A34C3A349E5A40B7BA0F684C2505A6BBF8D8A0EBF84A31C9D40695ABADAC72DEF84DE65F4D19B3D55A1AE9FFC95C4FA8EBBCBAC98C239D306B8B0D273731DC5F636977281AA2778F1100E83911FE9ADAB21423C5388A1214AE0ADB5B9E49B6397AFC0690D963072C22190C4EC4BAFD5D2F7011EC7A0E5D8B1F4AEFA36DFE8D4B64CA35920E9DC878CB6CCAEF68F3E4F28AF731F05D5208BF5768F3C46AE4D2BD29272CB6F57B3F281F5EA189929206B8D3527BBA10C3BCE83450F2E846C124A223BC8460EDE2E1D6695F964D8A80D97B015795673A83A6421BC31476DC8E8629204A3CCF68C96366812E9256EA5B93D0AE69AC7BD8D9655AE318CD42843AC3CDEF56108C61485635F95783989802A43E5A2D7B282D360046476C92EFA3CCB3E51D7BE850519D72A0F660DBC4F16142ED2B9C056B048A853A7F25BD4EFD6075BD1E2034FB80B20D6A511094235098DCB3464888469C5DF9AAD3BC145E4211D880E66C8EAB098DA544BDD81949CF97F6D6315A313E59012E7D55E88D01D5091AA8F5C77239B093B6D7E0F49EC14CD99BE4735BF45404EDE8B35DC9415F28F18CFA22416722912AFBCF7615D0097368969874017673B7A9BF027A753954F4EA3B4F4CF0AEA6593E601244EAE0A6B471CE8876743123D1237CB016494E0422C01945F1AC6E94F3A23FF790148F7DB47EB758996A1785B537BF591B4CD9259340CD575A3167D6CC26483D894D73468864B967AAE58084381E5C113333C5EB9A9EF4D7191CE6F8AB43ABC52F45AD1B10FAC365FB3FC749AD276BF69FF0CD2C5E2C1E1C0FF5202BD52A0A09794CA312A7A88ADAA1FC4E7734C0D19562BA6DA93A735DB993460FA0E8584FAC5DD2B4FCD664F95AD85178FCD01D119E6458DD19E42DB0FF5B79272A74CF76E133C81050C54F72E294342E357BEB88CCEA857B5D1A616BE1976AF57D55010FE6134CD0F7D74533E5614FF27D904056101C3E453AD379B72E048DF6AEE40E5705B7AEAEC938BE514CAD33491389C29590A22B3B75F9B70329B72AFEBB1D0DE8F1058AC267E67C0E34C915146AFC0D1582EB99A07F2E77617027F6AF912EB11ECB0AE62601D37E6C53C00A7CE74D0440CE5CCCDF288B79074633E527926D81BE671B21593928C27265B909B6EA322DDE34CD9167C981D902CF2BA1C1C1507FFBA2E55E1A7FB961B7BFB9AD144CDEFEEA597044E453FF3C6DA14E8DFC09C662FD700C35FC9413194460E519980FCF55B7C0BFF1CA5A902E5D9E4A5D5D594F8985D281971B988DF5643DF7EF1F2C9C91B5803B84EBB661573D544EEB83C47D8DE62E6E57F7653026BD02A3CFAF0B1A1F89A15E25F8E5C49FA2041B2CE56E37471751A08CA7EC63EAA2225033108045A354FA69C7A25927816D181E24D7E031B266727084EB4FC2065A353F934122A9EAE718E92A576B65A9B2190165639C9546122CF422BC79EA044BAE84FEBC472282312C50E50D209C60C42930F38AF25286C974D44898AC41E131621DC37735B2DC62489090AD45A885439B4DB808DF7BC9514C013CFAB59BEB730E29CA665E482709794FFE23EBA0B92FF03F027B517A31F3827AA60C1814F7554125DF9F66B97ED62B60606C5977CA31D893F98E4602DAE928D71EC26E3B25DCC69261
# Info :                     Npub, EOI=1 EOT=1, Last=0, Length=16 bytes
HDR = D6000010
DAT = DE3BD47FF7E454202371217795BA05D2
# Info :                Plaintext, EOI=0 EOT=1, Last=1, Length=0 bytes
HDR = 43000000

#### Authenticated Encryption
#### MsgID=  5, KeyID=  1 Ad Size =   64, Pt Size =    0
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=64 bytes
HDR = 12000040
DAT = 521D097A10D7955676B1BBA3D679390E69939C4DC0F466B5AD85538AA2C6008EEABCF82DF802AF51FD4209C6365E31958704FB08BECAEA004BCFA114548A86CB
# Info :                     Npub, EOI=1 EOT=1, Last=0, Length=16 bytes
HDR = D6000010
DAT = FC45F1ED2CCF34ADA265E48911B28872
# Info :                Plaintext, EOI=0 EOT=1, Last=1, Length=0 bytes
HDR = 43000000

#### Authenticated Encryption
#### MsgID=  6, KeyID=  1 Ad Size =   16, Pt Size =    0
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = 12000010
DAT = AB4700BE0733CE4C3AF58B6CF4B09DD8
# Info :                     Npub, EOI=1 EOT=1, Last=0, Length=16 bytes
HDR = D6000010
DAT = 293F1CD0725F706F4ADDB80E22213E3B
# Info :                Plaintext, EOI=0 EOT=1, Last=1, Length=0 bytes
HDR = 43000000

#### Authenticated Encryption
#### MsgID=  7, KeyID=  1 Ad Size =    0, Pt Size =   80
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=0 bytes
HDR = 12000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D2000010
DAT = 12FFAFB80A746EAE1371552D443A1C6F
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=80 bytes
HDR = 47000050
DAT = 5F186779DF4AF72EF9392707A33971687E429F9C3A33865195A950018CFFDED02D0CE6CC44AEDD37B843AC5BA1E664DAB1626092A8442EDC2EC574778012BCD7409D78DA8F25F09BA6CAE5EFE90EBC02

#### Authenticated Encryption
#### MsgID=  8, KeyID=  1 Ad Size =    0, Pt Size =   64
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=0 bytes
HDR = 12000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D2000010
DAT = 8CD079B3F662D5B23F04478360E24E8D
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=64 bytes
HDR = 47000040
DAT = B92961C9FF72D7B55D4FE16804233402D7D0CF033A21ED2A1ECA433644AA5891BC7F8C583E27F58F4748FB09751F2D6BE371787A6C297D905BB8915A5C3BCCFA

#### Authenticated Encryption
#### MsgID=  9, KeyID=  1 Ad Size =    0, Pt Size =  1536
# Instruction: Opcode=Authenticated Encryption
INS = 20000000
# Info :          Associated Data, EOI=0 EOT=1, Last=0, Length=0 bytes
HDR = 12000000
# Info :                     Npub, EOI=0 EOT=1, Last=0, Length=16 bytes
HDR = D2000010
DAT = 936357739DA957A68780B560658C9EAD
# Info :                Plaintext, EOI=1 EOT=1, Last=1, Length=1536 bytes
HDR = 47000600
